example_id	statement	date	french	possibility	labeler_name	notes
21300	“Under part 2 of the infrastructure bill, upon death the entire value of your accumulated wealth and estate will be taxed at 61%.”	October 10, 2021	En-dessous de la deuxième partie du projet de loi sur les infrastructures, [il est inscrit qu'] à votre décès, la valeur totale de votre richesse et de votre propriété sera taxée à 61%.	P	Camille	In the [ ], these are words I added for the translation and so that the sentence makes sense
21301	An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.	October 13, 2021	Une image d'étagères vides d'une épicerie montre les effets du plan "Build Back Better" du président Joe Biden.	I	Camille	
21302	“Europe COMPLETELY BANS the Moderna vaccine for young people.”	October 8, 2021	L'Europe a complètement bannit les vaccins de Moderna pour les jeunes personnes.	P	Camille	
21303	“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”	October 6, 2021	Augmenter la limite des dettes, c'est de payer nos anciennes dettes. Cela n'a rien à voir avec de nouvelles dépenses.	I	Camille	
21304	“The Walker-Kleefisch administration slashed $800 million from public schools."	September 13, 2021	L'administration Walker-Kleefisch a coupé 800 millions de dollars qui étaient destinés aux écoles publiques.	P	Camille	
21305	People who are vaccinated for the coronavirus “cannot spread it to you."	October 7, 2021	Les individus qui sont vaccinés contre le coronavirus "ne peuvent pas vous le transmettre".	P	Camille	
21306	“Pfizer admits there’s no vaccine approved by FDA.”	October 10, 2021	Pfizer a admis qu'il n'y a pas de vaccins approuvés par la FDA.	P	Camille	
21307	Dr. Anthony Fauci and U.S. health officials plotted “for a new avian flu virus to enforce universal flu vaccination.”	October 6, 2021	Le Dr. Anthony Fauci et les responsables de la santé publique américaine ont comploté pour [créer] une nouveau virus de grippe aviaire pour imposer la vaccination universelle contre la grippe.	P	Camille	
21308	The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.	October 7, 2021	Le pourcentage d'employés vaccinés à l'United Airlines a augmenté après le mandat parce que les employés non-vaccinés ont quitté la compagnie.	I	Camille	
21309	Says Dr. Anthony Fauci said he will not “take a PCR COVID test.”	October 12, 2021	Il dit que le Dr. Anthony Fauci a dit qu'il ne fera pas de test PCR pour la COVID.	I	Camille	
21310	“U.S. acres burned each year are much fewer now — even in our worst years — than was the case in the early 20th century.”	October 11, 2021	Les acres américain qui brûlent à chaque année sont beaucoup moins nombreux maintenant - même dans nos pires années - que ce n'était le cas dans le début du 20e siècle.	P	Camille	
21311	“Bill Clinton death ruled a homicide, death by poison.”	October 14, 2021	La mort de Bill Clinton a été traité comme un homicide, mort par poison	P	Camille	
21312	"The media is pretty quiet about Florida's decline in COVID cases. No mask mandates or vaccine mandates."	October 10, 2021	"Les médias sont très tranquille à propos du déclin des cas de COVID en Floride. Pas de mandats de masques et de vaccins."	I	Camille	No time lapse
21313	Pfizer vaccine contains living particles that can germinate to cause sickness.	October 11, 2021	Les vaccins de Pfizer contiennent des particules vivantes qui peuvent germer, ce qui peut engendrer des maladies.	I	Camille	
21314	Over 2 million injuries from COVID-19 vaccines have been reported to the World Health Organization.	October 3, 2021	Plus de 2 millions de blessures dues aux  vaccins contre la COVID ont été signalées à l'Organisation mondiale de la Santé.	I	Camille	No time lapse
21315	Says Rebecca Kleefisch played a key role in the Foxconn deal, “the largest attempted government handout to a foreign company in American history."	September 23, 2021	Il dit que Rebecca Kleefisch a joué un rôle clé dans l'accord du Foxcoon, "la plus grande tentative de don du gouvernement à une entreprise étrangère dans l'histoire américaine".	P	Camille	
21316	“Parents who challenge school curriculums are domestic terrorist(s)."	October 13, 2021	"Les parents qui défient les curriculums scolaires sont des terroristes domestiques"	I	Camille	
21317	A photo shows sex traffickers using an abandoned child car seat to lure in victims.	October 9, 2021	Une photo montre des trafficants sexuels utilisant un siège d'enfant abandonné pour attirer leurs victimes.	I	Camille	
21318	Says Hunter Biden “was hanged at Gitmo.”	October 17, 2021	Hunter Biden "a été pendu à Gitmo".	P	Camille	
21319	California’s shipping backlog is, in part, caused by a “California Truck Ban which says all trucks must be 2011 or newer and a law called AB 5 which prohibits Owner Operators.”	October 13, 2021	Le retard des expéditions de la Californie sont causés, en partie, à cause de l'interdiction californienne des camions qui dit que tous les camions doivent être de 2011 ou plus récents et d'une loi nommée AB 5 qui interdit les opérateurs-propriétaires.	P	Camille	
21320	“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”	August 8, 2021	"Les rhumes et les grippes saisonniers sont en effet plus dangereux pour les enfants que le Coronavirus" et " il y a très peu de transmissibilité de l'enfant à leur famille et à leur communauté".	P	Camille	
21321	In the United Kingdom, “81% of COVID-19 deaths are among the vaccinated.”	October 5, 2021	Au Royaume-Uni, "81% des décès de la COVID-19 sont parmis les vaccinés".	I	Camille	No time lapse
21322	“Virginia has the lowest standards for math and reading of all 50 states.”	September 2, 2021	La Virginie a les plus bas standards pour les mathématiques et la lecture de tous les 50 États.	I	Camille	No time lapse
21323	"Tennessee new law passed 48 hours ago now makes it illegal to teach Black history in the grades K-12."	October 13, 2021	La nouvelle loi du Tennessee adoptée il y a 48 heures rend maintenant illégal l'enseignement de l'histoire des Noirs dans le niveau K-12.	P	Camille	
21324	COVID-19 “surges among most vaxxed communities, says Harvard study.”	October 17, 2021	La COVID-19 "surgit parmi la plupart des communautés vaccinées, dit une étude d'Harvard".	I	Camille	Which study?
21325	A photo shows a $123,199 turkey for sale at Target “this year.”	October 12, 2021	Une photo montre 123,199$ de dindes en rabais au Traget "cette année".	I	Camille	
21326	Democrats “manufactured votes from low income voters to steal the battleground states.”	October 17, 2021	Les démocrates "ont fabriqué des votes des électeurs à faible revenu pour voler les États dans lequels ont lieu des champs de batailles.	P	Camille	
21327	There is an “epidemic of plane crashes linked to vaccine-related strokes in pilots.”	October 17, 2021	Il y a une épidémie d'écrasements d'avion liée aux vaccins qui ont causé des accidents vasculaires cérébrales aux pilotes	P	Camille	Can be disproven
21328	A new federal program “is giving homeowners up to $3,708 every year.”	October 14, 2021	Un nouveau programme fédéral "donne aux propriétaires jusqu'à 3,708$ chaque année".	I	Camille	Not enough context
21329	“The five most-endangered hospitals in the country are all in (North Carolina).”	October 11, 2021	"Les cinq hôpitaux les plus à risque dans le pays sont tous en Caroline du Nord".	I	Camille	
21330	Desmond Tutu died on Oct. 20, 2021.	October 20, 2021	Desmond Tutu est décédé le 20 octobre 2021.	P	Camille	
21331	“Mass media destroyed! Blackout for mass arrests event!”	October 20, 2021	"Les médias de masse détruits! Panne de courant pour un événement d'arrestations de masse!"	I	Camille	
21332	A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.	October 17, 2021	Une infirmière qui s'est évanouie après avoir reçu un vaccin contre la COVID-19 est décédée de la vaccination	I	Camille	
21333	The FEMA health care workers replacing the noncompliant nurses and doctors are NOT required to get vaccinated via the CDC."	October 18, 2021	Les employés de  FEMA qui remplacent les infirmières et les docteurs non-conformes ne sont pas obligés de se faire vacciner via le CDC 	I	Camille	
21334	Says Christopher Miller is “in charge of the military.”	October 18, 2021	Il dit que Christopher Miller est  "en charge de l'armée".	I	Camille	No time lapse
21335	Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.	October 12, 2021	Une photo d'un colis de vaccins avec des timbres de 2018 montre que la pandémie de COVID-19 était planifiée.	P	Camille	
21336	“The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.”	October 18, 2021	"Le gouvernement canadien menace de renvoyer tous les employés gouvernementals qui utilisent "Let's Go Brandon" dans les communications."	I	Camille	
21337	COVID-19 vaccines contain “RNA-modifying transhumanism nanotechnology."	October 13, 2021	Les vaccins contre la COVID-19 contiennent des "nanotechnologies qui modifient l'ARN vers le transhumanisme".	P	Camille	Can be disproven
21338	The Freedom to Vote Act "automatically registers ineligible voters."	October 19, 2021	La Loi sur la liberté de voter "enregistre automatiquement les électeurs inéligibles".	I	Camille	
21339	A video shows “the COVID-19 vaccine when it hits your blood.”	October 16, 2021	Une vidéo montre "le vaccin contre la COVID-19 lorsqu'il atteind votre sang".	I	Camille	
21340	“So now if you don’t comply” and get a COVID-19 vaccination, and you’re on “Social Security or disability, you won’t be able to receive your money.”	October 20, 2021	"Si maintenant vous ne vous conformez pas" et aller chercheur un vaccin contre la COVID-19, et vous êtes sur "la sécurité ou l'invalidité sociale, vous ne serez pas capable de recevoir votre argent" 	I	Camille	
21341	There will be a “clown purge” on Oct. 30.	October 14, 2021	Il y aura une purge de clowns le 30 octobre.	I	Camille	
21342	“Corona PCR ‘test’ is implanting a microchip.”	October 14, 2021	Le test PCR de la COVID-19 implante des micropuces.	P	Camille	Can be disproven
21343	Two forms of fluoride in our drinking water “are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans."	October 15, 2021	Deux formes de fluorures dans notre eau potable à boire sont tellement toxiques que le CDC étiquette clairement ces produits chimiques comme étant extrêmement toxiques pour les animaux et les humains.	I	Camille	
21344	"Welcome 2 Pres Biden’s America where inflation is costing households an extra $175 a month.”	October 19, 2021	Bienvenue dans l'Amérique du président Joe Biden où l'inflation coûte aux ménages un extra de 175$ par mois.	I	Camille	Require additional information about the household budget to prove this statement
21345	“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”	October 21, 2021	"Nous avons créé plus d'emplois dans les premiers huit mois de mon administration que tous les présidents dans l'histoire américaine - le nombre total d'emplois créés."	I	Camille	We don't know explicitly who's speaking
21346	Pathologists found "a host of non-biological components ... in the blood of vaccinated people,” including graphene chips and nanochips.	September 26, 2021	Des pathologistes ont trouvé "des composantes non-biologiques... dans le sang de personnes vaccinées", incluant des puces de graphène et des nanopuces.	I	Camille	Not enough context to easily disproven (who are the pathologists?) despite the fact that we know it's a conspiracy
21347	The newly drawn congressional district map in Arkansas “keeps communities together.”	October 21, 2021	La carte nouvellement dessinée pour le district de l'Arkansas pour [les élections du Congrès américains] "maintient les communautés ensemble"	I	Camille	
21348	“Biden flashed the white power sign while a black man was asking him a question.”	October 21, 2021	Biden a fait clignoter le signe d'alimentation blanc pendant qu'un homme noir lui posait une question.	I	Camille	
